zipcode,latitude,longitude,state,population,2015,2016,2017,2018,2019,2020,2021,2022,2023,Net_Income,bedroom_number,bathroom_number,living_space,land_space
75228,32.82456,-96.6805,TX,71450,113993.4071,134009.3844,156594.0244,177809.5168,190809.4442,203197.7454,234648.9477,275167.8601,278755.9705,189159,3,2,1717,6494
75229,32.8939,-96.86517,TX,32924,316030.3432,357431.3298,383527.0293,403167.6994,415488.4014,433373.045,494536.828,585817.6959,614791.7096,61631,4,4,3762,2625
75230,32.90202,-96.79226,TX,26335,439387.792,478460.4401,504474.5399,528544.9953,532921.9612,543804.4337,616296.2707,748044.4428,786587.3297,42207,4,4,3721,1254
75231,32.87695,-96.74967,TX,38823,101754.0377,118577.7541,136672.9209,154206.5683,163624.3887,171927.5291,189668.9893,223990.299,237278.1474,110106,2,3,1760,2081
75232,32.65878,-96.83968,TX,33561,86344.51489,102394.8593,120708.8678,140940.1601,156556.8079,170076.9353,198726.8801,240593.5335,244476.5804,92669,3,2,1782,4164
75233,32.70444,-96.87271,TX,16743,122257.6292,141453.8155,161127.2067,183027.5997,198421.7749,212521.5686,247072.9253,297607.2399,301706.2649,37773,4,2,1905,4758
75234,32.92423,-96.88904,TX,32728,157221.4984,180306.8181,207880.3232,233056.4129,244633.009,258116.2592,294483.1582,341646.6509,348664.2916,79999,3,3,2086,4460
75235,32.83219,-96.84798,TX,19042,107736.188,132052.6789,152140.7311,170670.4802,179884.932,189196.426,212196.0522,245664.7694,250008.3863,46939,2,2,1500,6452
75236,32.6866,-96.93455,TX,17545,113873.5428,130563.6108,146398.733,162783.6166,173906.9357,186674.0098,217466.627,264621.7729,270703.0199,48027,3,2,1847,5800
75237,32.66489,-96.87238,TX,18823,113395.4398,128518.4279,146374.4683,163907.9901,177683.2526,190503.7733,221628.3015,269984.6835,273370.7879,64572,4,2,1886,7995
75238,32.87855,-96.70785,TX,31953,294946.9733,329000.7326,354348.963,372422.5611,380622.2555,393734.3934,450149.0408,522973.9131,549749.8309,59210,4,3,2330,6694
75240,32.93194,-96.78924,TX,26442,170095.877,194867.8888,220172.865,244689.2551,250381.1296,261634.8454,297652.0718,353797.8086,375336.2614,64460,3,3,2304,4179
75241,32.667,-96.75903,TX,31749,66795.0913,81539.91561,100001.3428,120795.1075,136500.7374,147812.5553,172567.2589,212038.0476,215346.6711,105116,3,2,1489,5933
