zipcode,latitude,longitude,state,population,bedroom_number,bathroom_number,living_space,land_space,year_built,2015,2016,2017,2018,2019,2020,2021,2022,2023,net_income,2024
75241,32.667,-96.75903,TX,31749,3,2,1489,5933,2000,66795.09,81539.92,100001.34,120795.11,136500.74,147812.56,172567.26,212038.05,215346.67,105116,220088.66
75243,32.91232,-96.73633,TX,65118,3,3,1923,3340,1959,120344.63,139912.11,160402.16,179796.22,187300.19,194283.92,220901.78,263160.59,271538.1,186425,277726.31
75244,32.92544,-96.83671,TX,12806,4,3,2813,2753,2001,330642.41,368582.66,388095.71,407098.9,419215.68,440090.84,499483.87,592147.75,620102.31,19634,599232.84
75246,32.79296,-96.77322,TX,2307,3,3,2093,5980,1968,178744.59,206578.38,229780.63,251271.9,264118.61,286773.21,320329.52,356573.58,352234.26,6549,353910.99
75248,32.96957,-96.79542,TX,36317,3,3,3008,4178,1970,287476.21,323266.44,350855.97,375529.21,379932.36,395010.42,440028.84,516476.01,542839.91,55309,524742.33
75249,32.6449,-96.96257,TX,17629,4,2,2037,7201,1967,126806.4,144472.97,162106.12,180344.67,192804.53,205450.38,239613.34,287474.48,291823.69,34126,289455.95
75252,32.99696,-96.78983,TX,27310,4,3,2853,5299,1988,332542.31,361266.12,383101.6,393340.58,393462.19,403943.27,460470.97,554121.82,571772.69,46230,566363.56
75253,32.67278,-96.61171,TX,24090,4,2,2221,3568,1999,99781.37,116791.51,135436.35,156144.85,169204.01,182850.64,213927.74,264528.65,267956.08,53014,270879.4
75254,32.94571,-96.80127,TX,24047,3,4,3163,458,1997,127946.04,146348.32,166427.73,180443.93,186350.32,191796.37,209103.39,245776.14,252725.58,57576,260883.5
75287,33.00015,-96.84075,TX,51855,3,3,2653,5192,1971,257121.9,282718.71,303747.57,314199.07,315534.23,325001.38,367532.57,437957.69,450547.44,122823,450171.93
75401,33.18506,-96.11556,TX,21087,3,2,1599,5078,2005,60589.64,66931.91,74810.83,91648.04,105056.58,121087.4,150761.67,188664.95,189663.5,50753,187753.48
75402,33.06724,-96.08576,TX,18412,4,2,2119,2358,1952,127778.23,140700.37,156235.19,174162.2,186197.85,198851.48,232083.95,280188.44,280570.94,30152,283214.63
75407,33.1512,-96.48808,TX,24864,4,2,1886,4725,1999,170246.89,191805.18,211998.11,228323,233895.42,237755.52,278054.89,353574.17,339432.45,39251,364010.2
75409,33.35223,-96.52808,TX,20437,4,3,2218,5870,1963,187030.54,205642.85,226018.13,240457.07,244313.24,249714.91,293375.79,375522.59,360144.85,26423,388347.83
75414,33.62504,-96.43193,TX,2989,3,3,2507,6,2004,152951.21,163998.85,181333.69,204849.02,214058.68,228653.27,274990.9,331412.77,341468.16,5846,331366.31
75416,33.67255,-95.35431,TX,2890,3,2,1874,1752,1931,126250.71,129034.83,139163.68,145579.1,146543.26,156500.77,187904.67,224341.65,217548.57,6237,223851.56
75417,33.43827,-95.13114,TX,2479,3,2,2216,635,2001,99590.89,98290.66,99589.24,113967.52,117062.35,124403.02,143026.99,160368.09,152399.89,5107,162517.17
75418,33.57235,-96.1773,TX,14726,4,3,2509,2864,2004,93869.73,103928.24,116418.19,129866.64,143357.35,153473.51,181765.7,218612.51,216554.98,23918,221753.4
75422,33.13889,-95.93059,TX,2862,3,2,1765,418,1936,155806.52,168010.68,186736.35,202010.14,222061.6,243215.88,290518.56,349998.59,355896.84,5406,344611.24
75423,33.29279,-96.19918,TX,3055,4,3,2127,629,1975,142822.81,157981.61,177373,195320.2,211621.23,232268.78,277279.46,327343.39,330128.71,5013,324381.97
75426,33.65608,-95.01093,TX,3774,3,2,1686,2268,2007,66417.75,69380.84,68389.45,75721.84,76076.43,84446.99,100538.84,109359.35,98848.55,14482,107903.89
75428,33.27132,-95.91799,TX,11000,3,2,1778,2837,1971,76830.21,83295.25,94550.12,108985.73,122067.52,133362.15,160000.9,196488.88,200464.88,20522,196515.71
75432,33.38912,-95.66804,TX,3055,3,2,2371,959,1960,74431.75,78441.85,83636.37,86507.04,94004.3,99750.86,123540.03,153138.17,152611.36,7141,152601.73
75435,33.50175,-95.29522,TX,1137,3,2,1578,12,1923,92028.86,92537.59,93446.36,104211.38,105963.03,114263.45,143158.65,168772.95,156983.25,2146,165000.96
75436,33.73507,-95.24904,TX,2155,4,2,2175,2931,1924,111806.83,111247.16,116420.84,125327.2,126260.2,137539.92,165758.31,197374.25,191676.53,4661,199691.24
75438,33.60701,-96.07462,TX,953,3,2,1781,0,1950,135063.42,150685.78,165145.05,182713.73,196141.96,211258.69,255169.99,311240.58,309345.05,1976,307326.53
75440,32.87507,-95.75262,TX,6665,3,3,2380,532,2009,163367.96,169371.23,179813.37,198661.24,215925.05,231836.47,271444.82,318838.65,310281.81,12782,319154.16
