zipcode,latitude,longitude,city,state,population,density,state_x,City,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,Net_Income
76023,33.04777,-97.60425,Boyd,TX,7203.0,51.7,TX,Boyd,181739.2678787614,200381.1561552925,222604.27349716416,250358.43241217322,271786.125242699,296459.42793621693,344161.1248875149,401235.5906032552,395217.1991128986,12541.0
76028,32.52603,-97.30491,Burleson,TX,74217.0,369.9,TX,Burleson,166230.64577513954,182705.3182148745,201145.08777419434,218873.97579868857,228771.25548686364,240596.4613850936,278840.7336972884,337802.326707355,337687.9932583624,112463.0
76031,32.34873,-97.33267,Cleburne,TX,18996.0,100.9,TX,Cleburne,104016.34385684166,118337.20054419227,133270.95719690114,148429.4411726677,162339.3364306541,180292.8493501863,211413.37328611725,253374.57414606668,250725.10106909106,38907.0
76033,32.28663,-97.52075,Cleburne,TX,26174.0,57.4,TX,Cleburne,115771.89131221088,131162.93623335383,145055.35637910265,159724.8802094656,170922.8874351788,183774.97150469795,212056.93867011848,254681.9774559786,256263.1838802541,55260.0
76034,32.89121,-97.1488,Colleyville,TX,25717.0,759.8,TX,Colleyville,456141.88134984946,486456.5692085962,505395.91915472614,518978.2877368334,528184.6835875206,551065.0612451249,642193.5296449264,792533.1130255508,805433.3141466335,24511.0
76035,32.56172,-97.64251,Cresson,TX,2844.0,20.2,TX,Cresson,246223.22615952347,266640.32324227964,288689.59339257266,311804.9187620407,324760.5468219128,343240.3187386015,406365.39112946315,478942.92010719137,453034.62386621704,2877.0
76036,32.57366,-97.41434,Crowley,TX,29594.0,259.3,TX,Crowley,162285.10707772712,175628.11964303453,190898.40977609705,208295.11576406207,219855.1866775287,230367.31081602784,269541.7096155561,328946.07168023806,319765.88495930133,52998.0
76039,32.8592,-97.08422,Euless,TX,40657.0,2451.8,TX,Euless,173586.08487538563,192465.12156781313,214434.8974647687,232982.66874209928,242454.82396158096,253622.3950117326,285702.53237524274,339692.90517175576,348528.51122652704,70815.0
76040,32.82133,-97.10488,Euless,TX,30787.0,1515.8,TX,Fort Worth,164072.91390047155,182624.47929396166,204580.69159472708,223626.10990257605,234659.01425079917,246754.50710426338,281327.9644975324,336826.2121631196,344129.4775915487,74509.0
76043,32.20039,-97.76129,Glen Rose,TX,7094.0,24.8,TX,Glen Rose,194187.75672650142,201794.6644881349,212045.37834441863,227485.11424638226,234055.7552491695,248485.75750829667,290971.72437330126,344756.9667518718,355910.18016652705,12991.0
76044,32.42961,-97.54286,Godley,TX,6466.0,23.1,TX,Godley,196960.99828383987,217673.5302493771,240403.08449524702,263831.24318244733,284349.3520921261,304271.78314675536,352013.49431529484,424304.07020857674,425659.04804809456,8018.0
76048,32.40791,-97.80117,Granbury,TX,25691.0,97.6,TX,Granbury,158667.5010492249,169460.97270132424,182532.65277508306,199890.37610059962,213203.41659587648,227085.733725662,270929.2970446918,317339.7648175833,314833.946029888,52038.0
76049,32.46759,-97.70645,Granbury,TX,29154.0,105.1,TX,Granbury,199833.78259923277,213434.9496215127,232991.17461868655,255473.2352240961,271039.5118922084,286232.64888096176,334930.58044631255,402279.0596111088,399298.26755874604,48229.0
76050,32.27262,-97.16326,Grandview,TX,6760.0,18.8,TX,Grandview,159990.1907467944,175484.8504883801,187706.95465258427,202976.23103816566,220339.9553357272,247969.61708129733,289506.59461730864,351137.22187785845,355344.241873135,11622.0
76051,32.94192,-97.07888,Grapevine,TX,50066.0,867.2,TX,Grapevine,274378.4288245984,300748.8498056987,320981.52992048423,339184.1184603149,347914.1160866397,362484.8581137426,407987.23790273437,488755.4972896604,504127.4097285227,76956.0
76052,32.98205,-97.38037,Haslet,TX,26240.0,244.4,TX,Haslet,229514.33069938215,250626.85185825158,268595.02036761545,281207.7904864127,289928.7836374385,302259.4862412655,352814.9238972033,428664.3738726122,415596.8980752678,25013.0
76053,32.81683,-97.17898,Hurst,TX,31513.0,1493.5,TX,Hurst,131904.5273784149,150634.76546775745,170062.78650295906,187380.57539795293,198084.67732428687,211986.17809812856,242288.07975536215,288337.38826235064,293227.94627040066,74829.0
76054,32.85904,-97.17789,Hurst,TX,11989.0,1216.6,TX,Hurst,203287.36083180262,225106.42460325535,245943.9816913232,265463.60268922895,274969.1524043872,289193.732464384,327797.1420095948,387239.2091163837,398052.4435302084,17626.0
76055,32.1596,-97.14812,Itasca,TX,3255.0,15.2,TX,Itasca,82074.22470649709,93399.19137833943,104802.39176517552,118232.47839060945,127433.28807333804,142467.2863432542,167096.77860910282,193250.1542975785,197938.26013035508,6055.0
76058,32.47072,-97.4251,Joshua,TX,20702.0,153.9,TX,Burleson,148357.83081059257,165642.00742244927,183812.45369467407,202388.9970552942,213006.08953845743,230921.8540758879,267918.43747054023,320894.25601916085,322921.52419941017,40768.0
76059,32.3921,-97.32897,Keene,TX,4982.0,777.1,TX,Cleburne,107812.9032628318,120386.16700787209,134351.09763917237,148788.99771991526,159897.7542294349,177020.60762041423,208070.2648997183,243505.4371135569,247967.54062103565,12441.0
76060,32.63987,-97.2161,Kennedale,TX,8183.0,422.7,TX,Kennedale,199906.96099654448,219657.79415413563,238613.42522036133,254790.6041141795,264684.3784309964,278228.25888650195,319936.9427119599,383566.9336795287,384384.8380784196,16125.0
76063,32.56913,-97.14376,Mansfield,TX,76867.0,593.2,TX,Mansfield,218332.4682836904,239363.69315421654,260048.53601230247,277871.9917947579,287581.6955955942,301311.4219111212,349484.19783347263,421030.7509464961,421498.25107826694,110430.0
76064,32.30757,-97.03225,Maypearl,TX,1999.0,35.6,TX,Maypearl,170798.36066780883,190774.35807406306,213031.62219021702,233442.39305497822,243891.30469370703,257408.76640506115,294460.5126121015,341528.9514334363,342240.54395842727,3264.0
76065,32.47042,-96.98861,Midlothian,TX,40814.0,156.2,TX,Midlothian,225330.601842975,247230.0327240274,271214.47900716454,289439.07955081225,300839.1342778722,317163.651269355,370520.53730885725,441368.26552005444,443656.98904871184,51914.0
76067,32.80303,-98.1449,Mineral Wells,TX,20420.0,39.9,TX,Mineral Wells,88095.8285859379,90426.73835842522,94269.7768839796,101864.64868618069,112555.20537675609,128720.19991605014,160273.85311010838,189709.14568730383,190384.81632265364,47126.0
76070,32.24291,-97.64991,Nemo,TX,814.0,13.9,TX,Nemo,263528.1769973506,271989.90572273714,287407.2055905341,309055.6847497134,320479.0661046054,344208.28124004736,411937.5854292502,491629.3517843042,512640.45023688365,713.0
76071,33.00613,-97.47821,Newark,TX,4242.0,184.8,TX,Newark,171246.1325904877,182348.86597496338,196328.88482259784,216900.23470615956,229894.6061309564,243260.67466965597,279406.7597941995,334488.5660496535,325560.85758194036,7385.0
76073,33.10416,-97.72571,Paradise,TX,6443.0,29.6,TX,Paradise,209583.68941763768,228705.63296494182,252702.7862977618,280859.9742502729,304760.20370778657,327409.0212778551,381865.1699134566,452208.63567323267,460144.2394115133,9178.0
76082,32.97098,-97.71783,Springtown,TX,22082.0,83.0,TX,Springtown,182209.68792416737,199944.19848690004,221248.5989014023,246833.65630894553,265561.0731924768,280453.8996916644,324964.5727839768,381253.5498706787,383531.59670634376,37748.0
76085,32.84907,-97.70051,Weatherford,TX,11143.0,65.8,TX,Weatherford,216042.85722026532,235756.4221313879,256226.17645227976,277303.20679731556,297470.5095040803,315694.8901484444,366303.0216192045,431465.1244467445,435518.7294806,20528.0
76086,32.75345,-97.78909,Weatherford,TX,21054.0,587.5,TX,Weatherford,130032.19782878149,143782.72246016207,159263.2871595708,173823.72831617077,190400.4313573338,198659.6942156783,224374.3366275179,265602.7715650888,271171.9134567749,49389.0
76087,32.66995,-97.79065,Weatherford,TX,28779.0,59.9,TX,Weatherford,239220.30183919918,260199.93955067472,277463.8822546401,296490.26017780177,315394.3670267958,325048.84663477814,370851.15084212745,441314.49671519914,439716.96182673454,46379.0
76088,32.84554,-97.90345,Weatherford,TX,14669.0,35.1,TX,Weatherford,220206.5888211977,243623.5908074366,265506.73730847496,290734.88902598264,310810.776205131,328145.9633569991,370495.4399493842,432711.4383031036,435856.1722544577,21008.0
76092,32.95562,-97.14879,Southlake,TX,31276.0,532.9,TX,Southlake,580392.3730487697,610321.197976763,634740.3799438853,657510.4963395757,677213.6030995011,707089.0760764271,850795.8536619195,1078625.2093651516,1094517.9291950301,27115.0
76093,32.21459,-97.40098,Rio Vista,TX,3239.0,36.5,TX,Rio Vista,123327.0166662234,136577.2813243495,147421.07145132634,165799.7615593169,178318.2555161136,195164.49311495098,224388.94465487017,267209.7798973613,266604.10834399203,4500.0
76102,32.75799,-97.32858,Fort Worth,TX,10650.0,911.9,TX,Fort Worth,205391.17198093908,223314.08609097972,228666.6982636574,237443.081818971,241217.40214899855,248016.9935520887,272052.50852627633,303449.08353644406,305802.8037658701,17634.0
76103,32.75282,-97.26627,Fort Worth,TX,17363.0,1097.5,TX,Fort Worth,82961.39168463116,98356.51837972242,114441.1654926971,129798.81329875196,142294.51809870588,155989.50616557445,182441.13931464986,216582.87019808128,221319.13432168897,38295.0
76104,32.72848,-97.31819,Fort Worth,TX,18956.0,1246.7,TX,Fort Worth,53893.23597923804,64423.29047386939,74822.86720330801,89586.35643603804,102600.99336098788,115489.26660589575,140265.26676009025,167033.4053242814,169651.35849984759,56394.0
76105,32.72327,-97.26999,Fort Worth,TX,24277.0,1590.7,TX,Fort Worth,47693.07662097675,56033.27992829326,67143.25139656423,82972.18777979452,91464.89887673174,105641.58506328873,127786.50746269176,153084.68801520843,158742.1929143336,76691.0
76106,32.81417,-97.35209,Fort Worth,TX,37437.0,998.4,TX,Fort Worth,64260.12804299585,73819.74292553867,88933.63829067232,102698.01437816622,112482.70798723355,125278.08952591545,143430.9372281545,171953.1449934976,178624.01733669903,103883.0
76107,32.74176,-97.38202,Fort Worth,TX,29929.0,1078.4,TX,Fort Worth,208698.37528523625,231889.18343352107,251318.28907523493,266400.96077129705,270937.74462234,278845.3089743037,310772.8415483455,358029.0090301624,360152.8433716053,59357.0
76108,32.77943,-97.51811,Fort Worth,TX,44125.0,395.3,TX,Fort Worth,131418.5757161354,145671.42252687473,162560.37478381308,181002.42618843215,193018.2175131291,204575.83917540914,238373.44321346123,291213.8596415164,287744.1426350162,83961.0
76109,32.70115,-97.38378,Fort Worth,TX,24606.0,1163.6,TX,Fort Worth,357405.3679882206,372858.744673583,394676.0808360176,409189.96304076555,415621.23915649817,424556.67149946204,474001.61241246085,554049.6708085228,568034.4376553821,30322.0
76110,32.70678,-97.33843,Fort Worth,TX,33505.0,2257.0,TX,Fort Worth,92199.61844374763,107150.66807467294,122069.27047391942,140925.74956850277,153069.03728698785,164201.1640946392,183947.62507659965,212147.6199250098,217022.95983830187,77452.0
