zipcode_x,latitude,longitude,city,state,population,density,zipcode_y,City,2015,2016,2017,2018,2019,2020,2021,2022,2023
75117,32.71005,-95.85268,Edgewood,TX,4753.0,37.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75119,32.32293,-96.59107,Ennis,TX,28765.0,42.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75124,32.32579,-95.96932,Eustace,TX,5205.0,22.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75125,32.52983,-96.61563,Ferris,TX,7198.0,36.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75126,32.74361,-96.45289,Forney,TX,60232.0,284.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75127,32.6926,-95.79262,Fruitvale,TX,1854.0,26.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75132,32.93865,-96.38046,Fate,TX,0.0,0.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75134,32.62308,-96.78007,Lancaster,TX,19341.0,704.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75135,33.06666,-96.22567,Caddo Mills,TX,8075.0,47.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75137,32.63421,-96.91224,Duncanville,TX,19352.0,1244.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75140,32.64485,-95.68854,Grand Saline,TX,7365.0,24.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75141,32.63984,-96.69257,Hutchins,TX,3868.0,127.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75142,32.57004,-96.24637,Kaufman,TX,22870.0,48.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75143,32.36334,-96.24929,Kemp,TX,15270.0,32.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75144,32.11157,-96.20954,Kerens,TX,4030.0,9.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75146,32.57608,-96.75137,Lancaster,TX,24873.0,276.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75147,32.42256,-96.06517,Mabank,TX,6922.0,31.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75148,32.12491,-96.01173,Malakoff,TX,6237.0,27.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75149,32.76994,-96.6151,Mesquite,TX,59225.0,1427.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75150,32.81545,-96.6308,Mesquite,TX,64817.0,1992.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75152,32.43598,-96.67444,Palmer,TX,5686.0,53.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75153,32.17149,-96.35331,Powell,TX,515.0,8.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75154,32.52319,-96.80885,Red Oak,TX,47111.0,380.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75155,32.2232,-96.46906,Rice,TX,3167.0,29.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75156,32.28759,-96.09999,Mabank,TX,16500.0,198.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75157,32.46168,-96.44914,Rosser,TX,209.0,60.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
