state,zipcode,Net_Income
TX,78063,18539
TX,78064,29888
TX,78065,26785
TX,78066,950
TX,78067,2163
TX,78069,14151
TX,78070,27302
TX,78071,6398
TX,78072,1029
TX,78073,21661
TX,78076,36943
TX,78101,15452
TX,78102,43657
TX,78104,4750
TX,78107,616
TX,78108,56197
TX,78109,99322
TX,78112,22492
TX,78113,3527
TX,78114,41009
TX,78116,409
TX,78117,894
TX,78118,9036
TX,78119,11718
TX,78121,20929
TX,78122,756
TX,78123,5282
TX,78124,13424
TX,78130,154785
TX,78132,40856
TX,78133,37769
TX,78140,7060
TX,78141,1401
TX,78142,491
TX,78145,523
TX,78146,1554
TX,78147,3819
TX,78148,47735
TX,78151,3177
TX,78152,4508
TX,78154,65265
TX,78155,110038
TX,78159,2140
TX,78160,7693
TX,78161,1786
TX,78162,1118
TX,78163,16185
TX,78164,7786
TX,78201,134100
TX,78202,36691
TX,78203,21151
TX,78204,33828
TX,78205,3524
TX,78207,156022
TX,78208,14139
TX,78209,65448
TX,78210,106400
TX,78211,98560
TX,78212,69067
TX,78213,117861
TX,78214,70825
TX,78215,4308
TX,78216,102355
TX,78217,93609
TX,78218,99830
TX,78219,48710
TX,78220,57214
TX,78221,108631
TX,78222,55368
TX,78223,147168
TX,78224,58627
TX,78225,39947
TX,78226,20532
TX,78227,141500
TX,78228,173814
TX,78229,87494
TX,78230,88559
TX,78231,13240
TX,78232,62258
TX,78233,111719
TX,78234,14224
TX,78235,3670
TX,78236,11696
TX,78237,120478
TX,78238,68037
TX,78239,74135
TX,78240,125422
TX,78242,98904
TX,78244,78222
TX,78245,170611
TX,78247,97382
TX,78248,16398
TX,78249,114259
TX,78250,117078
TX,78251,120693
TX,78252,23136
TX,78253,80995
TX,78254,94961
TX,78255,17492
TX,78256,16539
TX,78257,11807
TX,78258,59565
TX,78259,36711
TX,78260,36936
TX,78261,26929
TX,78263,8893
TX,78264,34597
TX,78266,8418
TX,78330,1948
TX,78332,67495
TX,78335,4167
TX,78336,26272
TX,78339,2358
TX,78340,1133
TX,78341,4047
TX,78342,1426
TX,78343,9004
TX,78344,735
TX,78349,992
TX,78351,2213
TX,78352,766
TX,78353,894
TX,78355,20261
TX,78357,7404
TX,78358,7257
TX,78359,6431
TX,78361,13324
TX,78362,22186
TX,78363,64932
TX,78368,23923
TX,78369,1188
TX,78370,11687
TX,78372,12751
TX,78373,8671
TX,78374,32554
TX,78375,8807
TX,78376,891
TX,78377,8688
TX,78379,3905
TX,78380,54984
TX,78382,36415
TX,78383,7103
TX,78384,16607
TX,78385,726
TX,78387,23025
TX,78389,4279
TX,78390,15578
TX,78391,708
TX,78393,5166
TX,78401,9340
TX,78402,917
TX,78404,39968
TX,78405,48429
TX,78406,2726
TX,78407,7469
TX,78408,35007
TX,78409,6781
TX,78410,48433
TX,78411,68176
TX,78412,86302
TX,78413,76213
TX,78414,59896
TX,78415,114287
TX,78416,46456
TX,78417,13505
TX,78418,59205
TX,78501,167076
TX,78503,63452
TX,78504,109596
TX,78516,99032
TX,78520,187042
TX,78521,296007
TX,78526,130550
TX,78535,4606
TX,78536,896
TX,78537,142612
TX,78538,35710
TX,78539,74808
TX,78541,111366
TX,78542,188099
TX,78543,29558
TX,78545,1873
TX,78548,7694
TX,78549,3315
TX,78550,143984
TX,78552,81494
TX,78557,49066
TX,78558,6772
TX,78559,33932
TX,78560,14865
TX,78561,1901
TX,78562,7635
TX,78563,1505
TX,78565,3743
TX,78566,59131
TX,78567,2775
TX,78569,11597
TX,78570,106119
TX,78572,190657
TX,78573,113965
TX,78574,166189
TX,78575,11064
TX,78576,35681
TX,78577,222153
TX,78578,31684
TX,78579,13636
TX,78580,33207
TX,78582,109630
TX,78583,16348
TX,78584,62050
TX,78586,146451
TX,78588,980
TX,78589,124791
TX,78590,1267
TX,78591,644
TX,78592,3754
TX,78593,17646
TX,78594,6679
TX,78595,17690
TX,78596,99703
TX,78597,5819
TX,78598,943
TX,78602,58312
TX,78605,10477
TX,78606,12279
TX,78608,1078
TX,78609,4596
TX,78610,57101
TX,78611,28520
TX,78612,28784
TX,78613,106573
TX,78614,1106
TX,78615,2721
TX,78616,19790
TX,78617,57600
TX,78618,547
TX,78619,5438
TX,78620,24815
TX,78621,49355
TX,78622,981
TX,78623,2349
TX,78624,50117
TX,78626,57363
TX,78628,46846
TX,78629,29492
TX,78631,5911
TX,78632,1940
TX,78633,33138
TX,78634,49777
TX,78636,7707
TX,78638,4224
TX,78639,17017
TX,78640,111814
TX,78641,90002
TX,78642,21407
TX,78643,14047
TX,78644,42232
TX,78645,19789
TX,78648,18453
TX,78650,2650
TX,78652,8089
TX,78653,44040
TX,78654,42540
TX,78655,6337
TX,78656,6103
TX,78657,11341
TX,78659,6226
TX,78660,153354
TX,78661,1197
TX,78662,4315
TX,78663,1447
TX,78664,114168
TX,78665,67659
TX,78666,192490
TX,78669,15801
TX,78670,458
TX,78671,2119
TX,78672,2313
TX,78676,25049
TX,78681,69173
TX,78701,11900
TX,78702,58884
TX,78703,24300
TX,78704,95227
TX,78705,37015
TX,78717,36179
TX,78719,5049
TX,78721,32149
TX,78722,14082
TX,78723,74485
TX,78724,65190
TX,78725,18541
TX,78726,23869
TX,78727,44560
TX,78728,52550
TX,78729,55960
TX,78730,7811
TX,78731,33742
TX,78732,12033
TX,78733,9196
TX,78734,30662
TX,78735,23596
TX,78736,13701
TX,78737,16987
TX,78738,19665
TX,78739,13404
TX,78741,144487
TX,78742,2420
TX,78744,126390
TX,78745,135741
TX,78746,26853
TX,78747,38311
TX,78748,90212
TX,78749,45777
TX,78750,40121
TX,78751,36614
