zipcode,latitude,longitude,state,population,Net_Income,bedroom_number,bathroom_number,living_space,land_space,Year,Price
75693,32.53,-94.86,TX,6353,12228,3,2,1921,1730,2015,154358.48
75701,32.32,-95.3,TX,34296,81466,3,3,2233,4110,2015,117417.48
75702,32.36,-95.31,TX,28236,84110,3,2,1551,4285,2015,64600.57
75703,32.24,-95.32,TX,42414,85472,4,3,3089,1617,2015,207633.54
75704,32.41,-95.44,TX,9575,22167,4,2,2408,1508,2015,129516.02
75706,32.47,-95.3,TX,10142,25849,3,2,2049,2,2015,114316.32
75707,32.3,-95.17,TX,14455,30203,3,3,2332,1312,2015,179692.71
75708,32.41,-95.21,TX,10419,21917,3,2,1522,25,2015,81134.7
75709,32.31,-95.39,TX,4596,13186,4,4,3123,2,2015,155881.28
75751,32.08,-95.92,TX,17098,42991,4,3,2220,939,2015,109620.07
75752,32.24,-95.81,TX,7450,13842,3,2,1845,7,2015,175797.27
75754,32.42,-95.66,TX,7961,12877,4,3,2148,40,2015,168206.34
75755,32.63,-95.09,TX,4576,11142,4,2,2250,8,2015,122744.78
75756,32.3,-95.6,TX,4403,8805,3,2,1846,630,2015,144340.58
75757,32.12,-95.35,TX,13699,20975,3,3,2317,1277,2015,208208.28
75758,32.27,-95.5,TX,9726,20087,3,2,2172,1138,2015,162439.18
75765,32.64,-95.24,TX,7705,14687,3,2,1991,263,2015,128705.82
75766,31.95,-95.25,TX,25577,68589,3,2,2380,1372,2015,95219.77
75771,32.54,-95.43,TX,21260,37149,4,3,3402,1174,2015,166326.26
75773,32.68,-95.45,TX,13478,28283,3,2,2312,999,2015,134126.86
75778,32.3,-95.71,TX,2443,6956,3,2,1600,2490,2015,117952.37
75783,32.82,-95.42,TX,8316,15807,3,2,1747,675,2015,128793.38
75789,32.11,-95.09,TX,8919,15160,3,2,1972,646,2015,140349.19
75790,32.53,-95.64,TX,3383,9757,3,2,2005,883,2015,121611.65
75791,32.22,-95.22,TX,14093,23997,4,3,5134,1189,2015,153963.69
75792,32.47,-95.11,TX,3134,7572,4,3,2563,1418,2015,112163.87
75801,31.74,-95.55,TX,15740,37868,3,2,2151,1593,2015,91156.58
75803,31.88,-95.67,TX,21941,32395,3,2,1749,2602,2015,100887.31
75831,31.46,-96.02,TX,4981,10129,3,2,1534,15,2015,138987.99
75833,31.26,-95.84,TX,2223,7033,3,2,1883,18,2015,125455.38
75835,31.3,-95.49,TX,11597,27371,3,2,1943,710,2015,96939.59
75839,31.62,-95.56,TX,6001,10881,3,2,1671,1372,2015,115977.73
75840,31.78,-96.09,TX,6504,14294,3,2,2037,635,2015,121349.38
75844,31.52,-95.43,TX,4622,10561,3,2,2072,369,2015,118359.79
75845,31.09,-95.09,TX,2105,6038,3,2,1916,1,2015,110330.09
75852,30.99,-95.72,TX,3306,4131,3,2,1733,13,2015,171049.12
75859,31.88,-96.26,TX,2125,3852,3,2,2145,18,2015,221813.17
75860,31.62,-96.25,TX,6248,12077,3,2,1963,1851,2015,103547.86
75862,30.96,-95.33,TX,10245,23224,3,2,1698,3318,2015,95924.42
75901,31.3,-94.65,TX,28979,69903,3,2,2002,2179,2015,106393.62
75904,31.34,-94.83,TX,34663,82321,3,2,2095,1425,2015,116493.26
75929,31.24,-94.2,TX,1553,2855,2,2,1812,1008,2015,111736.15
75931,31.1,-93.99,TX,1821,4261,3,3,2088,950,2015,134549.15
75932,31.06,-93.61,TX,1343,2546,3,2,1787,2027,2015,112712.67
75933,30.55,-93.82,TX,1624,2921,3,2,1536,9,2015,79069.19
75935,31.73,-94.2,TX,12426,32896,3,2,1925,1025,2015,130052.08
75938,30.93,-94.36,TX,2217,4947,2,2,1304,3,2015,102906.71
75941,31.18,-94.76,TX,8470,19338,3,2,2264,680,2015,102616.34
75946,31.81,-94.52,TX,3714,6953,2,2,1747,10,2015,135745.02
75949,31.23,-94.52,TX,8469,16069,3,2,1739,4,2015,125103.92
75951,30.93,-94.06,TX,15026,36652,3,2,2214,789,2015,104663.11
75954,31.92,-94.06,TX,2550,6771,3,2,1258,1,2015,130291.61
75956,30.67,-93.97,TX,8275,13534,3,2,1880,11,2015,105086.25
75961,31.56,-94.51,TX,14909,36491,4,2,2120,429,2015,106926.66
75964,31.63,-94.75,TX,19889,45775,3,3,2108,1681,2015,109700.22
75965,31.73,-94.63,TX,18231,32922,3,3,2407,163,2015,161910.45
75966,30.84,-93.73,TX,4462,9879,4,3,2900,14,2015,82442.68
